state,district,constituency_code,constituency_name,role,elected_person,gender,party,terms_served,education,photo_source_url,declared_assets_inr,declared_liabilities_inr,criminal_cases_count,attendance_pct,questions_asked,lad_allocated_inr,lad_utilized_inr,bio
Maharashtra,Nandurbar,AC-MH-1,Akkalkuwa (ST),MLA,Adv. K. C. Padavi,Male,Indian National Congress,3,Graduate,/assets/placeholder-avatar.svg,44000000,6542046,0,93,36,50000000,46500000,"Adv. K. C. Padavi is the elected MLA representing Akkalkuwa (ST), Nandurbar, Maharashtra."
Maharashtra,Nandurbar,AC-MH-2,Shahada (ST),MLA,Rajesh Padvi,Male,Bharatiya Janata Party,1,Graduate,/assets/placeholder-avatar.svg,659000000,121239621,0,90,116,50000000,48000000,"Rajesh Padvi is the elected MLA representing Shahada (ST), Nandurbar, Maharashtra."
Maharashtra,Nandurbar,AC-MH-3,Nandurbar (ST),MLA,Vijaykumar Krishnarao Gavit,Male,Bharatiya Janata Party,3,Graduate,/assets/placeholder-avatar.svg,101000000,17977318,0,79,120,50000000,41500000,"Vijaykumar Krishnarao Gavit is the elected MLA representing Nandurbar (ST), Nandurbar, Maharashtra."
Maharashtra,Nandurbar,AC-MH-4,Navapur (ST),MLA,Shirishkumar Surupsing Naik,Male,Indian National Congress,4,Graduate,/assets/candidates/myneta_4.jpg,476000000,42663181,0,77,62,50000000,41000000,"Shirishkumar Surupsing Naik is the elected MLA representing Navapur (ST), Nandurbar, Maharashtra."
Maharashtra,Dhule,AC-MH-5,Sakri (ST),MLA,Manjula Gavit,Female,Independent,4,Graduate,/assets/candidates/myneta_5.jpg,195000000,34641981,0,84,99,50000000,46000000,"Manjula Gavit is the elected MLA representing Sakri (ST), Dhule, Maharashtra."
Maharashtra,Dhule,AC-MH-6,Dhule Rural,MLA,Kunal Rohidas Patil,Male,Indian National Congress,2,Graduate,/assets/candidates/wiki_6.jpg,519000000,86095287,0,74,42,50000000,42000000,"Kunal Rohidas Patil is the elected MLA representing Dhule Rural, Dhule, Maharashtra."
Maharashtra,Dhule,AC-MH-7,Dhule City,MLA,Shah Faruk Anwar,Male,All India Majlis-E-Ittehadul Muslimeen,4,Graduate,/assets/candidates/wiki_7.jpg,296000000,36578871,0,77,78,50000000,48000000,"Shah Faruk Anwar is the elected MLA representing Dhule City, Dhule, Maharashtra."
Maharashtra,Dhule,AC-MH-8,Sindkheda,MLA,Jayakumar Jitendrasinh Rawal,Male,Bharatiya Janata Party,1,Graduate,/assets/candidates/wiki_8.jpg,460000000,26339709,0,90,72,50000000,38000000,"Jayakumar Jitendrasinh Rawal is the elected MLA representing Sindkheda, Dhule, Maharashtra."
Maharashtra,Dhule,AC-MH-9,Shirpur (ST),MLA,Kashiram Vechan Pawara,Male,Bharatiya Janata Party,1,Graduate,/assets/candidates/myneta_9.jpg,607000000,67888317,0,96,78,50000000,46000000,"Kashiram Vechan Pawara is the elected MLA representing Shirpur (ST), Dhule, Maharashtra."
Maharashtra,Jalgaon,AC-MH-10,Chopda (ST),MLA,Latabai Sonawane,Female,Shiv Sena,2,Graduate,/assets/placeholder-avatar.svg,413000000,70546427,0,84,52,50000000,45000000,"Latabai Sonawane is the elected MLA representing Chopda (ST), Jalgaon, Maharashtra."
Maharashtra,Jalgaon,AC-MH-11,Raver,MLA,Shirish Madhukarrao Chaudhari,Male,Indian National Congress,1,Graduate,/assets/candidates/myneta_11.jpg,37000000,4895290,0,74,66,50000000,44000000,"Shirish Madhukarrao Chaudhari is the elected MLA representing Raver, Jalgaon, Maharashtra."
Maharashtra,Jalgaon,AC-MH-12,Bhusawal (SC),MLA,Sanjay Waman Sawakare,Male,Bharatiya Janata Party,3,Graduate,/assets/placeholder-avatar.svg,310000000,58825266,0,78,47,50000000,39000000,"Sanjay Waman Sawakare is the elected MLA representing Bhusawal (SC), Jalgaon, Maharashtra."
Maharashtra,Jalgaon,AC-MH-13,Jalgaon City,MLA,Suresh Damu Bhole (Rajumama),Male,Bharatiya Janata Party,4,Graduate,/assets/placeholder-avatar.svg,298000000,49230880,0,78,104,50000000,43000000,"Suresh Damu Bhole (Rajumama) is the elected MLA representing Jalgaon City, Jalgaon, Maharashtra."
Maharashtra,Jalgaon,AC-MH-14,Jalgaon Rural,MLA,Gulabrao Patil,Male,Shiv Sena,3,Graduate,/assets/placeholder-avatar.svg,103000000,17981705,0,85,77,50000000,46500000,"Gulabrao Patil is the elected MLA representing Jalgaon Rural, Jalgaon, Maharashtra."
Maharashtra,Jalgaon,AC-MH-15,Amalner,MLA,Anil Bhaidas Patil,Male,Nationalist Congress Party,2,Graduate,/assets/candidates/myneta_15.jpg,111000000,16593583,0,76,53,50000000,48000000,"Anil Bhaidas Patil is the elected MLA representing Amalner, Jalgaon, Maharashtra."
Maharashtra,Jalgaon,AC-MH-16,Erandol,MLA,Chimanrao Patil,Male,Shiv Sena,1,Graduate,/assets/candidates/myneta_16.jpg,111000000,5716524,0,93,26,50000000,40500000,"Chimanrao Patil is the elected MLA representing Erandol, Jalgaon, Maharashtra."
Maharashtra,Jalgaon,AC-MH-17,Chalisgaon,MLA,Mangesh Chavan,Male,Bharatiya Janata Party,2,Graduate,/assets/placeholder-avatar.svg,554000000,41222088,0,84,108,50000000,42000000,"Mangesh Chavan is the elected MLA representing Chalisgaon, Jalgaon, Maharashtra."
